user_email,user_name,category,time_spent,video_count
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Sports,11 min,18
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Science & Technology,144 min,27
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Education,2807 min,138
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Gaming,92 min,39
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Entertainment,870 min,93
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Comedy,294 min,28
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Film & Animation,63 min,13
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,People & Blogs,183 min,76
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Autos & Vehicles,2 min,3
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Music,5 min,5
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,News & Politics,90 min,9
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Howto & Style,18 min,25
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Travel & Events,78 min,12
user_random_9fea0ca6b7564c0d,user_random_9fea0ca6b7564c0d,Nonprofits & Activism,1 min,1
