record_id,timestamp,user_id,age,gender,activity_type,duration_min,calories_burned,heart_rate_avg,steps,sleep_hours,weight_kg
1,2025-07-22 09:22:54,U026,67,Male,Cycling,7,322,175,3591,7.0,84.3
2,2025-05-28 13:53:54,U039,16,Female,Strength Training,83,265,113,22312,5.7,79.6
3,2025-08-07 01:36:54,U046,62,Female,Cycling,118,508,98,5418,6.6,88.3
4,2025-07-17 01:56:54,U048,56,Female,Swimming,75,270,150,19809,7.9,69.0
5,2025-08-11 03:22:54,U042,42,Other,Yoga,76,308,141,12562,5.0,61.6
6,2025-07-25 13:00:54,U005,39,Female,HIIT,50,471,163,23432,7.4,98.7
7,2025-05-21 08:47:54,U030,61,Other,Walking,88,238,78,14851,6.8,61.8
8,2025-06-28 14:29:54,U014,46,Female,Yoga,39,133,179,15351,4.5,46.0
9,2025-08-02 19:57:54,U036,63,Male,Swimming,10,500,82,13072,4.7,72.6
10,2025-08-31 09:54:54,U019,27,Other,Swimming,100,210,165,22439,6.3,73.7
11,2025-05-18 06:34:54,U013,58,Other,Walking,16,256,73,16338,7.3,69.4
12,2025-06-13 16:19:54,U034,52,Male,Yoga,49,376,102,11601,9.2,82.3
13,2025-07-08 21:56:54,U035,39,Female,Swimming,74,293,172,24435,3.2,72.7
14,2025-10-09 19:54:54,U041,46,Female,Yoga,54,563,115,24409,6.7,64.6
15,2025-10-11 19:17:54,U032,42,Other,HIIT,33,452,85,18362,3.5,37.2
16,2025-06-15 17:54:54,U031,39,Other,Yoga,36,345,74,19487,8.4,58.0
17,2025-04-25 23:23:54,U015,42,Male,Yoga,92,158,160,15425,3.3,55.0
18,2025-05-03 09:30:54,U018,55,Female,Cycling,11,420,109,11349,3.0,62.1
19,2025-04-27 03:58:54,U050,68,Female,Yoga,119,287,172,18498,3.3,84.4
20,2025-10-12 20:37:54,U050,58,Female,HIIT,12,152,107,10048,9.4,104.6
21,2025-05-20 23:55:54,U043,31,Other,Swimming,6,416,102,7594,7.8,97.6
22,2025-08-17 18:22:54,U039,19,Male,Running,68,244,102,21253,6.7,55.4
23,2025-04-29 05:55:54,U005,53,Male,HIIT,116,151,79,23062,5.9,73.3
24,2025-08-24 09:24:54,U044,51,Male,Strength Training,11,134,118,15191,7.7,91.4
25,2025-07-05 01:55:54,U020,69,Male,Cycling,9,108,74,24095,5.8,59.2
26,2025-07-06 05:02:54,U039,45,Female,HIIT,44,308,111,13514,9.0,70.0
27,2025-08-04 05:10:54,U042,38,Other,Yoga,12,50,152,22404,4.5,75.7
28,2025-10-09 21:07:54,U010,27,Other,Strength Training,54,50,128,2971,3.2,81.6
29,2025-04-27 09:21:54,U008,61,Female,Swimming,90,146,126,18805,8.2,70.5
30,2025-10-10 12:04:54,U036,37,Female,HIIT,102,354,90,2868,9.1,68.7
31,2025-08-16 06:35:54,U011,18,Other,HIIT,18,278,151,12665,3.8,37.6
32,2025-07-04 06:59:54,U026,28,Female,Walking,85,211,138,17304,8.9,82.6
33,2025-06-19 20:38:54,U003,42,Female,Yoga,69,368,104,3733,5.4,73.4
34,2025-05-02 14:53:54,U028,66,Female,Walking,92,405,70,6276,7.5,72.0
35,2025-07-22 08:34:54,U046,66,Female,Yoga,39,205,115,15363,7.2,70.7
36,2025-09-09 20:29:54,U011,19,Other,Walking,36,50,117,13377,8.9,94.3
37,2025-09-17 19:29:54,U019,66,Female,Walking,88,476,163,19495,8.9,78.7
38,2025-05-30 05:26:54,U023,63,Other,HIIT,109,50,179,13263,3.6,71.3
39,2025-05-18 12:32:54,U024,16,Other,Running,45,337,63,14571,3.4,56.4
40,2025-08-01 16:40:54,U031,66,Male,Swimming,96,367,170,7481,3.1,66.7
41,2025-09-05 12:31:54,U006,49,Other,HIIT,51,208,83,14060,8.1,92.9
42,2025-08-03 04:32:54,U010,52,Female,Yoga,98,432,165,14201,8.1,63.0
43,2025-06-30 01:41:54,U045,32,Male,Strength Training,40,392,94,9614,9.1,46.1
44,2025-10-11 17:01:54,U045,20,Other,HIIT,95,460,77,12186,8.5,68.1
45,2025-10-08 09:23:54,U006,36,Male,Walking,79,530,127,5597,6.8,77.3
46,2025-06-23 11:58:54,U047,56,Female,Running,34,269,140,12383,6.8,51.7
47,2025-06-27 22:00:54,U025,62,Male,Swimming,67,230,93,24968,4.8,66.6
48,2025-08-31 18:23:54,U002,46,Male,Cycling,24,330,134,14863,3.9,85.0
49,2025-06-30 06:13:54,U013,17,Male,Running,21,545,173,5906,5.2,76.4
50,2025-08-22 12:38:54,U023,49,Male,Swimming,62,322,121,19652,9.4,61.7
51,2025-06-16 16:56:54,U038,27,Other,Swimming,105,389,68,17788,3.7,84.5
52,2025-09-12 09:44:54,U014,66,Male,HIIT,71,394,131,10145,5.7,41.5
53,2025-08-14 02:48:54,U046,64,Male,Running,45,84,108,8434,4.6,77.3
54,2025-08-29 03:20:54,U023,40,Female,Yoga,38,401,167,6688,5.8,65.9
55,2025-10-07 18:43:54,U049,42,Other,Swimming,119,390,145,18641,8.7,85.3
56,2025-10-04 17:11:54,U035,60,Male,Strength Training,29,504,100,20785,3.0,74.7
57,2025-08-31 05:26:54,U018,37,Male,Running,50,461,61,14982,5.8,105.2
58,2025-05-30 18:10:54,U019,43,Other,Cycling,41,306,85,23231,8.8,83.5
59,2025-07-24 02:15:54,U005,42,Female,Yoga,68,406,61,1267,4.1,42.7
60,2025-10-13 06:18:54,U026,50,Female,Strength Training,69,366,157,17523,9.0,83.2
61,2025-05-18 04:01:54,U020,54,Male,Running,42,225,138,18315,7.6,78.9
62,2025-08-02 07:23:54,U035,43,Female,Swimming,102,289,121,14515,3.3,64.5
63,2025-09-09 06:17:54,U033,42,Male,Walking,78,194,88,1872,3.2,77.6
64,2025-07-10 04:22:54,U002,54,Female,Strength Training,66,387,89,12521,6.5,58.0
65,2025-06-07 02:04:54,U034,20,Male,Cycling,29,226,85,6060,6.8,68.5
66,2025-06-16 15:25:54,U030,60,Female,Running,119,353,165,1281,9.4,78.8
67,2025-06-06 12:21:54,U048,68,Male,Yoga,81,426,159,370,5.1,87.5
68,2025-06-11 01:43:54,U001,63,Other,Cycling,38,120,76,16779,8.5,80.4
69,2025-06-13 17:45:54,U025,36,Female,Running,117,389,142,721,6.5,75.1
70,2025-10-01 05:02:54,U002,51,Female,HIIT,13,192,62,15423,3.3,102.3
71,2025-09-24 08:44:54,U039,32,Other,Strength Training,83,330,168,8432,6.3,53.7
72,2025-06-05 09:18:54,U035,60,Female,Swimming,116,433,95,16232,6.8,78.1
73,2025-10-04 00:17:54,U007,60,Male,Swimming,73,224,128,22440,3.6,54.8
74,2025-05-30 23:11:54,U045,37,Female,Swimming,112,188,102,20883,4.8,82.7
75,2025-10-02 05:12:54,U030,44,Female,Yoga,19,224,158,15358,6.3,53.5
76,2025-05-16 02:31:54,U015,50,Male,Running,10,427,145,22113,4.3,68.8
77,2025-05-31 15:00:54,U026,51,Male,Running,97,169,144,10749,7.2,67.3
78,2025-07-14 03:36:54,U008,31,Female,Running,70,390,78,17861,3.9,78.6
79,2025-04-28 22:25:54,U041,47,Male,HIIT,23,443,108,11255,9.4,74.8
80,2025-09-06 22:14:54,U049,58,Other,Running,99,167,178,20214,8.8,66.5
81,2025-08-23 04:41:54,U049,68,Male,Cycling,91,370,121,16206,9.2,84.2
82,2025-10-09 02:01:54,U030,55,Other,Walking,68,431,137,16443,3.0,76.3
83,2025-09-21 17:57:54,U013,38,Male,HIIT,95,124,105,18334,4.3,51.3
84,2025-08-30 17:09:54,U001,48,Female,Walking,25,341,88,16892,8.7,61.8
85,2025-09-22 00:01:54,U021,34,Female,HIIT,16,317,167,21514,8.2,82.2
86,2025-09-10 01:02:54,U011,19,Other,Walking,33,125,143,21400,5.7,61.0
87,2025-09-08 01:26:54,U035,58,Male,Yoga,20,292,136,23482,4.2,70.3
