ug_course,ug_specialization,interests,skills,ug_score,ug_score_num,Final_Cluster,Career_Group,SVD1,SVD2,SVD3,profile_doc
bsc,computer applications,cloud computing,java; python; sql,85,85.0,8,EdTech / Teaching / Curriculum Designer,0.6864307085374934,0.5788348057649332,-0.45112247803749067,java  python  sql cloud computing bsc computer applications
be btech,computer science engineering,technology,analytical thinking; critical thinking; logical thinking; problem solving; programming; sql; work under pressure,66.5,66.5,9,Operations / IT Generalist / Corporate,1.8212911220631358,0.5713679199629998,0.43420198201161875,analytical thinking  critical thinking  logical thinking  problem solving  programming  sql  work under pressure technology be btech computer science engineering
ba,psychology,human behavior,communication; people management,64.6,64.6,9,Operations / IT Generalist / Corporate,0.6074768899174662,-0.48120469256262516,-0.04843338913530065,communication  people management human behavior ba psychology
mba,commerce,human behavior; interior design; sales and marketing; trading,accounting; critical thinking,75.525,75.525,6,Finance / Accounting / Investment Analyst,0.7140444382461731,-0.549898193399398,0.34322196988388276,accounting  critical thinking human behavior  interior design  sales and marketing  trading mba commerce
be btech,instrumentation engineering,technology,business analysis; crossfunctional team leadership; end to end projectmanagement; labview; lean six sigma; lean six sigma blackbelt; plc allen bradley; plc ladder logic; productivity improvement; requirements gathering,70.68,70.68,1,Software Developer / Tech Generalist,0.8711291437702504,0.742806795112135,0.9539399342186066,business analysis  crossfunctional team leadership  end to end projectmanagement  labview  lean six sigma  lean six sigma blackbelt  plc allen bradley  plc ladder logic  productivity improvement  requirements gathering technology be btech instrumentation engineering
be btech,computer science engineering,technology,c; html; java,73.15,73.15,1,Software Developer / Tech Generalist,1.1529714575477203,1.0525147568068227,0.9220206931717254,c  html  java technology be btech computer science engineering
bms,commerce,research; sales and marketing,analytical thinking; communication; creativity skills; critical thinking; excel; interpersonal skills; logical thinking; observation skills; presentation; problem solving; reading,73.15,73.15,2,Entrepreneur / Product Manager,1.6620863616776052,-1.1826582350849089,0.7490862403267602,analytical thinking  communication  creativity skills  critical thinking  excel  interpersonal skills  logical thinking  observation skills  presentation  problem solving  reading research  sales and marketing bms commerce
be btech,computer science engineering,technology,no,74.1,74.1,1,Software Developer / Tech Generalist,0.9680306514620841,0.8924939757448555,1.0245849521869748,no technology be btech computer science engineering
be btech,computer science engineering,technology,critical thinking; java; linux; programming language skills; python; sql,69.35,69.35,5,AI/ML Engineer / Data Scientist,1.7912839013210007,1.384003557628811,-0.20266364383554347,critical thinking  java  linux  programming language skills  python  sql technology be btech computer science engineering
bsc,physics,content writing; government job; human behavior; human biology; infrastructure; research; service; teaching; technology,active listening; artistic creative skills; communication; critical thinking; editing; gathering information; human resources; leadership; medical knowledge; problem solving; teaching; writing,86.45,86.45,3,Civil Services / Government / Research,2.264061377424959,-1.696009165406568,-0.3590528888738056,active listening  artistic creative skills  communication  critical thinking  editing  gathering information  human resources  leadership  medical knowledge  problem solving  teaching  writing content writing  government job  human behavior  human biology  infrastructure  research  service  teaching  technology bsc physics
bcom,accounting and finance,financial analysis,accounting; analytical thinking; cost accounting; excel; problem solving; tableau; team work; writing,63.745,63.745,6,Finance / Accounting / Investment Analyst,1.0844516494908498,-0.8381550382413343,0.15374149319314143,accounting  analytical thinking  cost accounting  excel  problem solving  tableau  team work  writing financial analysis bcom accounting and finance
be btech,automobile engineering,entrepreneurship; technology,analytical thinking; communication; gathering informing; presentation; problem solving; team work,71.44,71.44,2,Entrepreneur / Product Manager,1.8011330876069587,0.03046142592071513,1.2529335518356706,analytical thinking  communication  gathering informing  presentation  problem solving  team work entrepreneurship  technology be btech automobile engineering
mba,marketing,agriculture; construction management; digital marketing; human behavior; market research; sales and marketing; services; trading,accounting; business knowledge; leadership; problem solving; wealth management,59,59.0,4,Sales & Marketing / Business Development,0.9810183050886908,-1.2620631075599749,-0.05600510374304519,accounting  business knowledge  leadership  problem solving  wealth management agriculture  construction management  digital marketing  human behavior  market research  sales and marketing  services  trading mba marketing
be btech,automation engineering,data analytics,communication; critical thinking; gathering information; presentation; python; sql,69.35,69.35,0,Data Analyst / BI Specialist,1.754438210945955,0.5071533557139173,-0.5393004167620348,communication  critical thinking  gathering information  presentation  python  sql data analytics be btech automation engineering
bca,computer applications,technology,c; cloud computing; communication; java; python; sql; writing,71.2,71.2,5,AI/ML Engineer / Data Scientist,1.54497168115291,0.6590172422935787,-0.027486237387602475,c  cloud computing  communication  java  python  sql  writing technology bca computer applications
be btech,science,data analytics; government job; research; technology,analytical thinking; data visualization; machine learning; python; sql,69.35,69.35,0,Data Analyst / BI Specialist,2.0436659971988314,1.2034649140723328,-0.778395311383348,analytical thinking  data visualization  machine learning  python  sql data analytics  government job  research  technology be btech science
be btech,computer science engineering,data analytics; data science; financial analysis; research,artificial intelligence; communication; critical thinking; gathering information; java; leadership; machine learning; matlab; programming language skills; python; sql,64.6,64.6,0,Data Analyst / BI Specialist,2.7779817839414234,0.8050961397186975,-1.2718390332393184,artificial intelligence  communication  critical thinking  gathering information  java  leadership  machine learning  matlab  programming language skills  python  sql data analytics  data science  financial analysis  research be btech computer science engineering
be btech,mechanical engineering,entrepreneurship,analytical thinking; cost accounting; critical thinking; excel; gathering informing; leadership; logical thinking; market research; problem solving; product knowledge; programming; python; r; sql; tableau; team work; writing,71.25,71.25,2,Entrepreneur / Product Manager,2.4662240129690582,0.0237488761835275,0.9848474996447526,analytical thinking  cost accounting  critical thinking  excel  gathering informing  leadership  logical thinking  market research  problem solving  product knowledge  programming  python  r  sql  tableau  team work  writing entrepreneurship be btech mechanical engineering
be btech,electrical and electronics engineering,technology,arduino; arm cortex m; avr; c; eagle pcb; embedded c; kicad; matlab; project management,81.7,81.7,8,EdTech / Teaching / Curriculum Designer,0.8922915786872738,0.7321143504165617,0.5429938857932276,arduino  arm cortex m  avr  c  eagle pcb  embedded c  kicad  matlab  project management technology be btech electrical and electronics engineering
be btech,structural engineering,data analytics; research; teaching; technology,active listening; analytical thinking; communication; critical thinking; designing skills; etabs; leadership; people management; problem solving; proeficiency in software like staad pro,74.33,74.33,3,Civil Services / Government / Research,2.627038022406901,-0.5264623197174093,0.5083669594635616,active listening  analytical thinking  communication  critical thinking  designing skills  etabs  leadership  people management  problem solving  proeficiency in software like staad pro data analytics  research  teaching  technology be btech structural engineering
mtech,mining engineering,industry; teaching; technology,hardware,92,92.0,4,Sales & Marketing / Business Development,0.4307826560510677,0.10629456396300872,0.18876299621787637,hardware industry  teaching  technology mtech mining engineering
be btech,computer science engineering,data analytics; financial analysis; research; sales and marketing; technology,analytical thinking; business knowledge; cloud computing; designing skills; human resources; machine learning; problem solving; product knowledge; python; risk management skills; sql,61.75,61.75,0,Data Analyst / BI Specialist,2.7984497886369324,0.35822367406049127,-0.5615325150270809,analytical thinking  business knowledge  cloud computing  designing skills  human resources  machine learning  problem solving  product knowledge  python  risk management skills  sql data analytics  financial analysis  research  sales and marketing  technology be btech computer science engineering
be btech,mechanical engineering,data science; industry; information technology; technology,cad cae autocad catia ansys proe seimensnx; etabs; proeficiency in software like staad pro,73.15,73.15,1,Software Developer / Tech Generalist,1.1471427581094162,0.9445934289669228,0.7798351177965406,cad cae autocad catia ansys proe seimensnx  etabs  proeficiency in software like staad pro data science  industry  information technology  technology be btech mechanical engineering
