Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Engineering,Urban Planner,3.530438534147387,5,0,2,0,3,1,4,4,2,2,1,0,1,1
Chemistry,Art Director,4.018247221685561,1,2,0,0,8,1,3,4,0,3,0,3,0,1
Engineering,Chemist,4.636733223332204,1,0,0,0,5,0,1,1,1,2,2,3,4,1
Physics,Manager,4.052692953534206,3,1,3,0,1,0,4,1,3,1,2,1,2,0
Law,Education Administrator,4.834850008942559,0,2,4,0,0,0,4,4,3,4,4,3,2,0
Marketing,Accountant,4.029891529095423,2,0,0,1,2,0,0,2,4,3,1,2,4,1
Medicine,Cybersecurity Analyst,3.226644909827205,4,0,1,1,0,1,1,2,4,2,2,3,0,0
Computer Science,Special Education Teacher,4.378898512867637,2,1,0,0,0,0,2,3,3,4,4,2,4,0
Education,Civil Engineer,3.6712135301622952,3,2,0,1,3,0,0,0,1,0,2,3,3,1
Medicine,Artist,3.905219850365391,5,2,2,1,7,0,2,4,4,4,0,3,2,1
Business,Architect,3.983628858616102,0,2,1,1,5,1,2,4,1,3,0,0,4,1
Education,Graphic Designer,4.831142370138503,5,1,1,1,5,1,1,1,4,2,4,0,2,0
Engineering,Acoustics Specialist,2.519861098579108,4,2,3,1,4,1,1,3,2,3,4,1,2,0
Chemistry,Organic Chemist,3.4993573182286166,4,2,4,0,7,0,2,1,2,1,4,2,2,0
Engineering,Interior Designer,3.051281363601992,0,0,0,1,0,0,3,0,1,0,3,0,3,0
Architecture,Game Developer,4.882464657587002,3,2,1,1,1,1,2,2,1,0,1,3,2,1
Chemistry,Music Teacher,2.8496288358342414,0,2,3,1,0,0,2,3,2,3,4,2,3,0
Law,Market Research Analyst,3.325656325067502,0,2,3,0,7,0,2,0,4,3,1,3,0,1
Music,Conductor,2.861092300527823,5,1,1,1,0,1,2,2,1,3,4,3,1,1
Medicine,Chemical Engineer,4.189086124027632,6,2,2,0,4,1,1,2,3,3,3,3,1,1
Marketing,School Psychologist,4.670245899434831,4,0,4,0,3,1,1,0,3,1,0,1,2,1
Physics,Psychologist,4.045535068198723,1,0,2,1,6,1,2,0,0,3,0,0,4,0
Biology,Special Education Teacher,3.0815093503014723,7,0,0,1,6,0,4,3,0,2,1,1,3,1
Computer Science,Surgeon,3.293037413815491,2,1,2,0,8,1,0,0,3,1,1,4,2,0
Finance,Digital Marketing Specialist,4.411688423234405,8,0,4,0,8,1,3,0,0,1,0,1,4,1
Chemistry,Forensic Psychologist,4.91524984804653,1,2,3,0,9,1,0,0,4,1,0,3,0,0
Architecture,Judge,4.597910696845415,1,1,4,1,8,0,1,0,2,3,4,3,2,1
Biology,Analytical Chemist,2.878498258050343,6,2,1,0,3,1,0,4,1,0,1,0,3,1
Medicine,Illustrator,4.419582883962078,8,2,0,0,7,1,1,4,2,0,1,2,1,1
Music,Web Developer,3.6660943730625073,5,0,0,1,8,0,1,1,2,3,0,3,1,0
Computer Science,Art Therapist,2.5841469169994107,0,2,4,1,6,1,3,2,1,0,2,2,4,1
Chemistry,Counselor,3.409774458210828,7,1,1,1,5,1,0,0,1,2,0,2,2,0
Chemistry,Nurse,4.997478345619685,2,0,4,0,5,1,0,0,2,3,1,4,0,0
Marketing,Chemical Engineer,3.2274262997873766,1,1,4,1,1,0,4,2,0,1,1,4,2,1
Architecture,Marketing Manager,3.038927520900584,5,1,1,1,5,1,1,2,2,3,1,2,0,0
Psychology,Teacher,4.566338664638026,1,0,4,0,0,0,4,0,4,1,4,0,2,0
Art,Doctor,3.19249995864387,5,0,2,0,6,1,2,3,4,0,2,3,3,1
Engineering,Paralegal,2.9207042900764284,1,2,4,0,4,1,1,3,4,1,2,3,0,1
Music,Art Director,3.7829212138514596,6,1,3,0,8,1,2,1,2,4,4,1,2,0
Law,Psychologist,4.581031654142441,9,0,0,0,9,0,0,1,2,4,3,3,0,0
Law,Data Scientist,3.4520449379239837,5,2,3,0,3,0,3,2,0,3,0,1,0,1
Physics,Software Developer,3.038082477030586,7,1,3,0,5,1,1,3,4,1,0,4,4,1
Marketing,Graphic Designer,3.3871950610516777,3,0,2,0,1,0,3,3,2,0,2,4,1,0
Marketing,Urban Planner,4.033337379126986,2,0,4,1,5,0,1,2,1,2,3,3,3,1
Architecture,Investment Banker,2.790305704303844,3,0,3,1,3,1,3,2,3,2,2,2,2,1
Education,Curriculum Developer,3.0508604172686944,3,2,1,0,7,0,2,4,0,4,2,0,3,0
Medicine,Microbiologist,4.690325622614975,6,2,1,0,5,0,4,2,1,4,2,0,0,1
Chemistry,Surgeon,3.1417042275029963,8,2,3,0,0,0,3,1,3,3,0,3,4,0
Music,Interior Designer,4.179276864405921,7,1,3,1,8,0,1,3,2,2,4,3,1,0
Chemistry,Education Administrator,4.212333987547685,0,1,4,1,9,1,4,1,3,3,0,0,3,1
Computer Science,Data Scientist,3.621420878875026,0,0,0,1,5,0,2,1,4,3,0,2,4,0
Business,Mechanical Engineer,2.7599211820518033,1,1,2,0,4,0,0,0,0,3,2,4,4,1
Physics,Urban Planner,3.7470800522367598,7,2,2,1,2,0,3,1,1,1,3,1,4,1
Education,Biochemist,3.500019315410001,4,2,4,1,8,1,2,0,1,4,2,0,2,0
Engineering,Nuclear Physicist,2.929644640829822,0,0,2,1,3,1,2,1,4,1,0,3,1,0
Medicine,Market Research Analyst,2.8670739690819045,6,2,2,1,6,0,1,4,2,1,4,2,3,0
Biology,Aerospace Engineer,3.8951305108248526,9,0,3,1,8,1,2,3,1,1,2,0,4,1
Chemistry,Microbiologist,3.8695643464862863,6,1,4,1,8,0,3,4,4,2,3,1,3,0
Finance,Game Developer,3.752472237757201,1,2,1,1,0,1,3,0,3,0,4,2,0,1
Law,Conductor,3.5092061094428795,6,1,2,1,6,1,1,1,3,0,1,4,4,1
Art,Game Developer,4.543993395432022,3,0,0,1,5,0,1,0,0,2,0,2,1,0
Medicine,Animator,4.868112458444806,4,0,0,1,1,1,0,0,0,3,2,1,1,1
Law,Sound Engineer,3.5918948428140984,4,2,4,1,0,1,3,3,2,1,4,2,0,1
Psychology,Financial Advisor,3.561989740642229,5,1,1,1,1,1,0,0,2,3,1,0,3,0
Education,Curriculum Developer,3.4823549430047414,7,1,4,1,7,1,0,0,2,1,2,4,3,1
Law,Landscape Architect,3.062612942473321,0,0,3,0,6,1,0,2,0,0,1,1,3,1
Marketing,Manager,4.385635955324699,8,0,3,1,2,0,2,4,2,1,2,4,3,0
Marketing,Accountant,2.572426267357782,0,0,4,1,4,0,2,3,0,0,2,0,0,0
Physics,Ecologist,3.0655981145157054,7,0,3,0,7,0,1,3,4,1,3,1,2,0
Chemistry,Legal Analyst,3.926535042580322,0,2,1,1,5,1,2,3,4,3,0,0,1,0
Music,Organic Chemist,3.048544481664348,9,0,1,0,1,0,0,4,4,0,0,4,0,0
Finance,Web Developer,3.3873579653113475,0,1,3,1,4,1,2,0,3,3,2,1,1,0
Marketing,Industrial-Organizational Psychologist,4.647235248464243,3,2,3,0,3,0,2,2,3,4,1,4,0,0
Chemistry,Interior Designer,2.520192130328506,1,1,0,0,7,0,3,1,1,1,3,4,4,0
Physics,Aerospace Engineer,4.675831753841454,2,2,4,1,3,0,4,0,0,3,1,4,0,1
Art,Conductor,3.4753446162259887,1,0,0,1,2,0,2,4,1,2,3,0,0,0
Chemistry,Web Developer,4.215755640189045,1,0,2,0,7,0,2,3,4,3,4,2,3,1
Medicine,AI Researcher,3.7484736900965805,9,2,0,0,5,1,1,0,0,2,0,4,4,0
Art,Aerospace Engineer,4.647663156368122,6,0,0,0,8,0,1,0,2,2,4,0,1,1
Education,Psychologist,3.889936345687226,6,1,0,0,7,0,3,4,0,4,2,0,3,1
Chemistry,Marketing Specialist,2.8090174336257374,9,0,2,0,4,0,1,2,3,4,1,0,1,0
Psychology,Risk Analyst,3.9693763524770134,0,0,3,1,2,0,0,0,3,2,0,1,3,0
Law,Music Therapist,2.8915102368398724,3,0,2,1,6,0,3,0,1,1,0,4,3,1
Law,Interior Designer,3.138968178304591,0,1,1,0,4,0,1,1,2,2,0,0,3,0
Finance,Judge,2.5381646499431385,9,1,1,0,3,0,3,3,2,1,3,1,2,1
Medicine,Art Therapist,3.047476225015817,6,1,4,0,3,1,0,3,2,4,3,3,0,0
Engineering,Teacher,3.2267695431117165,5,0,1,1,1,1,0,1,1,0,2,2,1,0
Medicine,Entrepreneur,4.4096604694609045,2,1,4,0,9,0,3,0,2,3,1,3,4,1
Computer Science,Art Therapist,3.528697356766357,2,0,0,0,0,0,4,2,2,4,4,3,3,0
Marketing,Physicist,4.407120397209464,9,1,2,1,5,1,1,3,3,4,2,2,0,1
Law,Chemist,4.87526061928022,5,1,0,0,2,0,3,2,0,1,4,1,3,1
Architecture,Art Director,4.803756541848001,3,0,4,0,0,0,1,2,1,1,2,3,3,0
Architecture,Lawyer,3.977176081351389,4,2,2,0,1,0,3,0,2,0,0,0,3,0
Engineering,Inorganic Chemist,4.054943922412952,0,0,3,0,3,0,0,3,4,3,0,3,3,1
Finance,Brand Manager,3.086418262922494,8,0,1,0,4,0,1,3,4,0,3,2,1,1
Business,Nuclear Physicist,2.766411210226466,3,1,3,1,7,0,0,4,2,2,0,2,1,0
Marketing,Artist,2.767842218069962,2,2,0,1,6,1,2,0,3,0,1,0,1,0
Marketing,Acoustics Specialist,3.93042065815363,1,0,3,1,2,0,0,1,1,3,1,1,3,1
Computer Science,Interior Designer,3.272845118630083,6,2,1,0,0,0,3,0,0,2,0,3,4,1
Chemistry,Actuary,3.9425094947134918,9,1,2,0,2,1,3,1,2,0,0,2,3,1
Chemistry,Dentist,4.565848763989988,9,2,1,1,5,1,0,3,1,2,1,0,1,1
Music,Music Therapist,3.45206242822771,6,2,4,1,3,0,2,1,3,4,4,3,4,0
Business,Landscape Architect,3.9156942609742016,2,0,0,0,7,1,0,2,1,3,0,2,2,0
Psychology,Biomedical Engineer,3.4713398553946284,9,0,3,1,0,1,4,0,0,3,3,2,0,1
Marketing,Legal Secretary,4.36795643229726,7,1,3,1,4,0,1,3,4,1,4,1,1,1
Architecture,Chemical Engineer,2.8955479403269972,8,2,2,1,0,1,4,1,3,4,3,1,4,1
Physics,Astronomer,4.308895919099701,2,0,1,0,1,0,3,2,4,2,3,1,3,1
Chemistry,Organic Chemist,4.0833618625398245,7,0,1,1,5,1,4,1,3,4,1,4,0,1
Computer Science,Animator,4.5135941977259755,8,2,1,0,5,1,3,1,0,0,4,0,4,0
Engineering,Zoologist,2.966120105564698,3,1,3,0,8,1,1,2,3,0,3,1,1,1
Engineering,Biomedical Engineer,3.409148680327732,6,2,3,0,7,0,1,2,2,2,0,0,1,0
Marketing,Music Teacher,4.079120339560614,5,1,3,0,5,0,0,0,0,0,4,0,2,0
Medicine,Nurse,4.880409785984379,3,0,1,1,4,0,1,4,3,1,3,2,4,1
Engineering,Legal Consultant,4.072392548064631,8,1,3,0,2,0,4,0,4,4,4,4,3,1
Marketing,Curriculum Developer,2.884064393203676,4,1,2,0,8,0,2,1,2,0,1,2,3,1
Music,Civil Engineer,3.1479830280031185,8,1,3,1,1,1,3,1,0,0,0,1,1,0
Architecture,Software Developer,4.450911168580807,8,0,2,1,6,1,1,2,1,2,3,0,0,1
Finance,Biochemist,4.804682988310068,1,2,4,0,6,0,4,1,2,2,3,2,0,1
Business,Software Developer,4.003754338502018,8,2,1,0,6,1,0,4,4,0,2,3,2,1
Business,Web Developer,4.570196678252482,5,1,1,1,1,0,2,2,0,1,0,3,4,1
Biology,Architect,3.1387198663822367,2,0,2,0,1,1,1,4,1,3,3,0,0,1
Finance,Construction Manager,4.414580737184015,9,1,2,1,2,1,0,1,0,1,0,4,3,0
