ug_course,ug_specialization,interests,skills,ug_score,ug_score_num,Final_Cluster,Career_Group,SVD1,SVD2,SVD3,profile_doc
bsc,computer applications,cloud computing,java; python; sql,85,85.0,8,EdTech / Teaching / Curriculum Designer,0.6864307085374932,0.5788348057649302,-0.45112247803749317,java  python  sql cloud computing bsc computer applications
be btech,computer science engineering,technology,analytical thinking; critical thinking; logical thinking; problem solving; programming; sql; work under pressure,66.5,66.5,9,Operations / IT Generalist / Corporate,1.8212911220631351,0.5713679199630028,0.4342019820116151,analytical thinking  critical thinking  logical thinking  problem solving  programming  sql  work under pressure technology be btech computer science engineering
ba,psychology,human behavior,communication; people management,64.6,64.6,9,Operations / IT Generalist / Corporate,0.6074768899174658,-0.4812046925626252,-0.048433389135297135,communication  people management human behavior ba psychology
mba,commerce,human behavior; interior design; sales and marketing; trading,accounting; critical thinking,75.525,75.525,6,Finance / Accounting / Investment Analyst,0.7140444382461729,-0.5498981933993958,0.3432219698838854,accounting  critical thinking human behavior  interior design  sales and marketing  trading mba commerce
be btech,instrumentation engineering,technology,business analysis; crossfunctional team leadership; end to end projectmanagement; labview; lean six sigma; lean six sigma blackbelt; plc allen bradley; plc ladder logic; productivity improvement; requirements gathering,70.68,70.68,1,Software Developer / Tech Generalist,0.8711291437702504,0.7428067951121409,0.9539399342186001,business analysis  crossfunctional team leadership  end to end projectmanagement  labview  lean six sigma  lean six sigma blackbelt  plc allen bradley  plc ladder logic  productivity improvement  requirements gathering technology be btech instrumentation engineering
be btech,computer science engineering,technology,c; html; java,73.15,73.15,1,Software Developer / Tech Generalist,1.1529714575477201,1.0525147568068283,0.922020693171717,c  html  java technology be btech computer science engineering
bms,commerce,research; sales and marketing,analytical thinking; communication; creativity skills; critical thinking; excel; interpersonal skills; logical thinking; observation skills; presentation; problem solving; reading,73.15,73.15,2,Entrepreneur / Product Manager,1.6620863616776052,-1.1826582350849038,0.7490862403267667,analytical thinking  communication  creativity skills  critical thinking  excel  interpersonal skills  logical thinking  observation skills  presentation  problem solving  reading research  sales and marketing bms commerce
be btech,computer science engineering,technology,no,74.1,74.1,1,Software Developer / Tech Generalist,0.9680306514620839,0.8924939757448619,1.0245849521869672,no technology be btech computer science engineering
be btech,computer science engineering,technology,critical thinking; java; linux; programming language skills; python; sql,69.35,69.35,5,AI/ML Engineer / Data Scientist,1.791283901321,1.3840035576288099,-0.2026636438355516,critical thinking  java  linux  programming language skills  python  sql technology be btech computer science engineering
bsc,physics,content writing; government job; human behavior; human biology; infrastructure; research; service; teaching; technology,active listening; artistic creative skills; communication; critical thinking; editing; gathering information; human resources; leadership; medical knowledge; problem solving; teaching; writing,86.45,86.45,3,Civil Services / Government / Research,2.2640613774249587,-1.6960091654065708,-0.3590528888737941,active listening  artistic creative skills  communication  critical thinking  editing  gathering information  human resources  leadership  medical knowledge  problem solving  teaching  writing content writing  government job  human behavior  human biology  infrastructure  research  service  teaching  technology bsc physics
