ug_course,ug_specialization,interests,skills,ug_score
bsc,computer applications,cloud computing,java; python; sql,85
be btech,computer science engineering,technology,analytical thinking; critical thinking; logical thinking; problem solving; programming; sql; work under pressure,66.5
ba,psychology,human behavior,communication; people management,64.6
mba,commerce,human behavior; interior design; sales and marketing; trading,accounting; critical thinking,75.525
be btech,instrumentation engineering,technology,business analysis; crossfunctional team leadership; end to end projectmanagement; labview; lean six sigma; lean six sigma blackbelt; plc allen bradley; plc ladder logic; productivity improvement; requirements gathering,70.68
be btech,computer science engineering,technology,c; html; java,73.15
bms,commerce,research; sales and marketing,analytical thinking; communication; creativity skills; critical thinking; excel; interpersonal skills; logical thinking; observation skills; presentation; problem solving; reading,73.15
be btech,computer science engineering,technology,no,74.1
be btech,computer science engineering,technology,critical thinking; java; linux; programming language skills; python; sql,69.35
bsc,physics,content writing; government job; human behavior; human biology; infrastructure; research; service; teaching; technology,active listening; artistic creative skills; communication; critical thinking; editing; gathering information; human resources; leadership; medical knowledge; problem solving; teaching; writing,86.45
bcom,accounting and finance,financial analysis,accounting; analytical thinking; cost accounting; excel; problem solving; tableau; team work; writing,63.745
be btech,automobile engineering,entrepreneurship; technology,analytical thinking; communication; gathering informing; presentation; problem solving; team work,71.44
mba,marketing,agriculture; construction management; digital marketing; human behavior; market research; sales and marketing; services; trading,accounting; business knowledge; leadership; problem solving; wealth management,59
be btech,automation engineering,data analytics,communication; critical thinking; gathering information; presentation; python; sql,69.35
bca,computer applications,technology,c; cloud computing; communication; java; python; sql; writing,71.2
be btech,science,data analytics; government job; research; technology,analytical thinking; data visualization; machine learning; python; sql,69.35
be btech,computer science engineering,data analytics; data science; financial analysis; research,artificial intelligence; communication; critical thinking; gathering information; java; leadership; machine learning; matlab; programming language skills; python; sql,64.6
be btech,mechanical engineering,entrepreneurship,analytical thinking; cost accounting; critical thinking; excel; gathering informing; leadership; logical thinking; market research; problem solving; product knowledge; programming; python; r; sql; tableau; team work; writing,71.25
be btech,electrical and electronics engineering,technology,arduino; arm cortex m; avr; c; eagle pcb; embedded c; kicad; matlab; project management,81.7
be btech,structural engineering,data analytics; research; teaching; technology,active listening; analytical thinking; communication; critical thinking; designing skills; etabs; leadership; people management; problem solving; proeficiency in software like staad pro,74.33
mtech,mining engineering,industry; teaching; technology,hardware,92
be btech,computer science engineering,data analytics; financial analysis; research; sales and marketing; technology,analytical thinking; business knowledge; cloud computing; designing skills; human resources; machine learning; problem solving; product knowledge; python; risk management skills; sql,61.75
be btech,mechanical engineering,data science; industry; information technology; technology,cad cae autocad catia ansys proe seimensnx; etabs; proeficiency in software like staad pro,73.15
bcom,accounting and finance,data analytics; digital marketing; financial analysis; gaming; government job; human behavior; human biology; journalism; research; sales and marketing; social justice; supply chain; teaching; technology; trading,accounting; active listening; analytical thinking; business knowledge; communication; critical thinking; data visualization; finance related skills; gathering information; interpersonal skills; leadership; mass communication; negotiation; people management; problem solving; product knowledge; risk management skills; sales; wealth management,80
bca,programming,service; technology,c; communication; machine learning; programming language skills; r; sales; writing,76.95
bca,programming,teaching,active listening; teaching,69
be btech,civil engineering,market research,business knowledge; civil criminal law; product knowledge,74.955
be btech,mechanical engineering,design,critical thinking; designing skills; interpersonal skills; problem solving; python,73.15
bba,management,financial analysis,financial analysis; financial modeling; financial services; marketing strategy; strategic planning,73.625
be btech,automobile engineering,entrepreneurship; financial analysis; sales and marketing; technology,business knowledge; communication; design and analysis of automobile components; design for manufacturer and assemble; designing skills; interpersonal skills; leadership; market research; people management; presentation; sales; team work; vehicle maintenance and reconditioning; work under pressure,84.55
be btech,electronics and communication engineering,embedded systems,creativity skills; designing skills; embedded systems; excel; iot; logical thinking; observation skills; risk managing; simulation; vlsi design,81.795
be btech,computer science engineering,research,analytical thinking; c; communication; creativity skills; critical thinking; excel; interpersonal skills; java; logical thinking; negotiation; presentation; programming; python; sql,75.05
be btech,electronics and communication engineering,technology,no,66.5
bcom,marketing,sales and marketing,active listening; business knowledge; communication; interpersonal skills; leadership; negotiation; problem solving; product knowledge; sales,55
bcom,economics,sales and marketing,business knowledge,85
be btech,computer science engineering,software development,no,76
be btech,computer science engineering,data analytics; financial analysis; technology; trading,analytical thinking; business knowledge; data visualization; machine learning; negotiation; problem solving; sql,76.475
be btech,mechanical engineering,trading,active listening; business knowledge; communication; risk management skills; sales,63
be btech,computer science,financial analysis; social causes; technology; web design; web development,accounting; analytical thinking; business knowledge; c; communication; critical thinking; finance related skills; problem solving; programming language skills; python; sql,87.59
pharmacy,pharmacy,research,active listening; creativity skills; logical thinking; team work,72
bcom,commerce,financial analysis,accounting; cost accounting,51.3
bsc,design,interior design,architecture; designing skills; leadership; mass communication; people management; programming language skills; writing,74
bcom,commerce,entrepreneurship,business knowledge; product knowledge; sales; team work,57
be btech,information technology,entrepreneurship,communication; gathering informing; interpersonal skills; leadership; mass communication; observation skills; people management; risk managing; team work; work under pressure,65.55
bsc,chemistry,government job,sports,74.1
bca,computer applications,technology,artificial intelligence; java; machine learning; python; sql; tableau,76
be btech,automobile engineering,entrepreneurship; human behavior; research,analytical thinking; critical thinking; designing skills; excel; observation skills; product knowledge; reading; reporting; risk managing; team work,76
be btech,electrical and electronics engineering,blockchain; information technology,aks; apache; aws; aws ec2; bash; continuous integration and continuous delivery ci cd; docker; internet information services iis; jenkins; kubernetes; new relic apm; terraform,74.67
be btech,computer science engineering,software development,full stack development; java; python; react,74.1
be btech,mechanical engineering,data science; excel; machine learning; supply chain,active listening; analytical thinking; machine learning; negotiation; problem solving; product knowledge; python; risk management skills,88.35
be btech,computer science engineering,software development,android development; codeigniter; graphic design; java development; web development,73.15
be btech,mechanical engineering,data analytics; data science; government job; trading,data visualization; python; sql,78.185
bcom,commerce,financial analysis,accounting; active listening; artistic creative skills; business knowledge; communication; critical thinking; gathering information; social media marketing,63
bsc,physics,technology,accounting; active listening; artificial intelligence; creativity skills; critical thinking; excel; logical thinking; observation skills; presentation; problem solving; product knowledge; programming; python; reading; risk managing; team work,68.685
be btech,mechanical engineering,industry; technology,cad cae autocad catia ansys proe seimensnx,74.1
mtech,electronics and communication engineering,content writing; data analytics; data science; design; digital marketing; excel; gardening; information technology; machine learning; market research; research; sales and marketing; service; social media marketing; teaching; technology; web design; web development,analytical thinking; architecture; artificial intelligence; aws; c; communication; designing skills; editing; javascript; leadership; machine learning; matlab; php; problem solving; programming language skills; python; r; sales; social media marketing; sql; teaching; writing,87
bsc,statistics,data analytics,analytical thinking; critical thinking; leadership; machine learning; problem solving; python,69.35
be btech,computer science engineering,information technology,java; problem solving; programming; python; sql,69
bsc,information technalogy,research; technology,active listening; analytical thinking; artificial intelligence; c; creativity skills; editing; machine learning; mass communication; problem solving; python; team work,89.87
bcom,commerce,blockchain,artistic creative skills,60
be btech,industrial engineering,data analytics; data science; financial analysis; gardening; human behavior; human biology; research; trading,analytical thinking; business knowledge; civil criminal law; communication; critical thinking; data visualization; finance related skills; gathering information; interpersonal skills; leadership; machine learning; negotiation; people management; problem solving; product knowledge; python; risk management skills; sql,72
be btech,mechanical engineering,supply chain; technology,business knowledge; negotiation; product knowledge; sales,60.8
diploma,manufacturing engineering,technology,designing skills,70
bcom,accounting and finance,financial analysis,company law; company secretarial work; corporate law; corporate social responsibility; due diligence; industrial and labour law; public company compliance; regulatory compliance; statutory compliances,83.03
be btech,computer science engineering,data analytics; design; research; technology,active listening; client management; communication; programming language skills,68.02
be btech,computer science engineering,teaching; technology; web design,active listening; content creation; gathering information; mass communication; programming language skills,68.4
be btech,information technology,human behavior; human biology; technology,analytical thinking; gathering informing; risk managing; sql,76
bsc,computer science,data analytics; data science; technology,analytical thinking; data visualization; python; sql,66.5
bsc,computer science,digital marketing; market research,analytical thinking; business knowledge; communication; data visualization; designing skills; excel; hospitality; human resources; leadership; people management; presentation; problem solving; product knowledge; risk management skills; sql; writing,75
be btech,mathematics,teaching; technology,analytical thinking; c; logical thinking; writing,71.25
bca,computer applications,technology,active listening; negotiation,71.25
be btech,information technology,technology,java; programming; sql,76
be btech,electrical and electronics engineering,software development,full stack development,78.85
be btech,electrical and electronics engineering,data science; machine learning; sports industry,analytical thinking; business knowledge; communication; programming language skills; python; sql,73.53
be btech,computer science engineering,data science; machine learning,artificial intelligence; c; data visualization; java; linux; machine learning; programming language skills; python; r; sql,73.625
