What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2,PC3,Final_Cluster,SVD1,SVD2,SVD3
B.Sc,Computer Applications,Cloud computing,Python;SQL;Java,85,0,0,-1,0.11989394057170111,-0.8717383018149757,-0.7648194120415573,0,0.04357114374106172,0.17206987532645895,0.5510080733044737
B.E,Computer Science Engineering,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",66.5,0,0,-1,0.14776855743669254,0.007347319126946199,-0.2229544551149653,6,0.4545295249978465,0.4823305614375589,0.865876535259139
BA,Psychology,Understand human behaviour,People management;Communication skills,64.6,0,0,-1,1.2119977421873778,0.8180001427122383,0.6643051291798703,4,0.005793596801047936,0.012121942444554529,0.017655841183483418
MBA,Commerce,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,75.525,0,0,-1,0.9702645442318054,0.4714096021588755,-0.8485767015411275,4,0.010637253973327414,0.02285488257083168,0.028237630851612138
B.Tech,Instrumentation Engineering,Technology,"
PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement",70.68,0,0,-1,-0.6606888605166102,0.33659787322570084,0.34437410438904154,7,1.1163683721096902,-0.020077499874065347,0.04230138002441039
B.Tech,Computer Science Engineering,Technology,"C,C++,HTML,Java",73.15,0,0,-1,-0.5375288337874253,0.01286320669617332,-0.14488553310044827,5,1.3675923358412825,0.25500577586104484,0.6834810253313239
BMS,Commerce,"Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",73.15,0,0,-1,0.09363714100668649,-0.0300149134783874,-0.9973715806570879,4,0.008550242415044287,0.015423068138353271,0.01510890619407784
B.Tech,Computer Science Engineering,Technology,NO,74.1,0,0,-1,-0.5156718197880839,-0.019416931397961367,-0.1969962273075941,5,1.447628848772621,0.26267015414749223,0.657325798196236
B.Tech,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,0,0,-1,-0.5375900899725926,0.012654691884681457,-0.1448451116151148,5,1.367592335841283,0.25500577586086254,0.6834810253318963
B.Sc,Physics ,Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching,86.45,0,0,-1,1.3445631546845447,-1.387814553930175,-0.7144188802569633,0,0.029190822309591292,0.17161130577805336,0.5431055696940879
B.Com,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",63.745,0,0,-1,0.5009576003671534,-0.42194687639542594,1.5541167132788238,2,0.042707498229821665,0.11014393692461615,0.1922934235727743
BE,Automobile Engineering,"Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",71.44,0,0,-1,0.34060025825257584,0.34483080368561975,-0.5907576139796842,3,0.07403976216387731,0.9330474026141459,-0.3701138404055837
MBA,Marketing ,"Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement",Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management,59,0,0,-1,0.166586175654798,1.3665887810547597,-3.8834482526044636,4,0.005490962393949061,0.005602476189179413,0.011478126489785818
BE,Automation,Data analytics,Critical Thinking;Gathering Information;Presentation Skills;Python;SQL;Good communication skills,69.35,0,0,-1,-0.22979630679353888,0.5146606721173096,-0.26790860061474203,3,0.06438121973811256,0.8955031868088142,-0.3536208660772276
BCA,Computer Applications,Technology,Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing,71.2,0,0,-1,-0.7269148071811908,-0.6217303988477804,-0.9319580681972915,0,0.21468139255534524,0.20464833225780482,0.24140412325944582
