Sleep_Hours,Sleep_Quality,Physical_Activity_Min,Diet_Quality,Stress_Level
10.0,0,41,1,3
5.7,2,36,1,8
7.5,2,7,1,8
5.6,2,35,0,5
7.3,0,29,0,1
6.4,3,16,1,4
3.0,1,27,1,4
8.1,1,27,1,3
7.0,2,12,1,6
7.0,2,37,1,5
7.5,2,31,0,5
8.6,3,17,1,6
7.3,1,36,1,3
6.8,3,50,0,5
7.5,1,11,1,4
4.8,0,28,2,7
6.9,2,54,0,1
7.0,2,27,2,3
7.2,1,31,0,3
5.6,1,21,2,4
7.7,0,15,1,3
8.2,2,24,1,3
7.6,1,22,1,6
9.1,2,51,1,5
6.3,0,57,1,8
5.7,2,30,0,3
6.3,2,9,1,5
5.7,1,60,1,2
6.7,0,22,1,4
8.3,0,0,0,4
5.4,3,21,1,6
4.9,2,16,1,4
6.6,1,21,1,5
7.6,2,22,0,6
6.0,2,14,0,2
6.0,1,22,0,6
3.0,2,21,1,3
7.3,0,41,1,4
7.6,2,29,0,4
4.3,1,0,1,9
5.9,2,21,0,4
6.2,2,45,1,7
6.0,0,31,1,4
5.3,0,14,1,3
7.2,2,56,0,5
8.6,2,18,1,5
5.6,0,17,0,6
7.6,2,39,0,6
6.7,1,29,1,2
5.8,2,21,1,1
6.1,1,45,1,6
8.5,0,25,0,1
6.7,0,47,1,5
5.4,3,45,0,4
7.5,3,35,0,3
8.2,2,39,1,9
5.6,0,24,0,3
3.9,0,33,1,6
10.0,2,20,1,3
5.6,3,26,0,5
6.7,0,39,2,3
9.1,2,21,1,1
7.8,3,36,0,1
8.0,3,13,2,8
6.6,0,41,1,6
7.2,2,14,1,1
6.9,0,44,0,1
5.7,2,21,1,6
5.5,2,38,1,8
7.4,0,21,1,1
7.3,3,39,2,5
5.7,2,6,2,2
7.3,0,51,0,5
8.1,2,30,1,3
9.1,1,34,1,3
6.9,0,51,1,3
6.5,2,14,1,6
6.2,1,47,1,4
8.8,1,16,1,2
7.3,0,17,0,6
8.7,0,39,1,2
8.9,3,13,1,4
8.5,1,41,1,9
5.6,0,50,1,5
8.2,0,38,1,9
5.9,0,37,1,4
8.7,1,19,0,6
7.3,2,42,1,1
5.6,2,28,0,8
7.1,0,51,1,5
7.4,2,25,1,7
4.7,2,32,0,8
7.1,1,46,1,2
6.9,0,54,1,5
7.8,2,27,1,1
5.9,2,41,0,5
7.1,3,49,1,4
5.4,0,17,1,2
5.0,0,38,1,4
3.9,0,9,2,3
5.5,0,28,1,4
4.4,2,23,0,5
8.9,2,29,1,1
6.4,0,28,1,6
6.0,1,41,1,5
6.9,2,35,0,5
4.9,1,53,1,3
8.4,2,16,1,1
4.9,3,13,1,6
8.2,3,15,1,1
7.4,0,39,0,5
7.8,0,36,1,2
6.3,2,33,1,8
5.9,3,41,1,6
5.8,3,35,1,5
4.9,1,21,1,8
6.2,0,36,1,4
8.2,2,65,1,4
10.0,3,20,1,1
7.3,2,22,1,3
4.5,1,23,1,6
5.8,1,23,1,3
6.2,2,5,1,6
5.1,2,23,1,6
8.1,2,22,1,3
5.8,2,30,1,6
6.2,2,44,0,3
5.6,1,16,1,1
7.0,2,33,0,6
7.2,0,11,0,7
6.9,0,15,1,7
7.9,0,27,0,3
7.5,2,37,1,4
7.1,1,22,0,4
6.8,3,15,1,1
7.7,2,10,1,3
7.1,3,76,1,5
7.6,0,25,0,5
5.4,3,40,1,6
8.5,2,30,1,3
10.0,2,45,1,4
7.9,2,33,1,1
7.6,1,51,1,5
6.2,0,46,2,4
6.4,2,12,1,4
9.8,1,15,1,3
6.1,2,28,1,1
9.3,0,42,1,2
7.2,0,32,2,6
7.2,0,29,1,2
7.6,2,15,1,3
5.9,0,15,0,1
4.9,2,23,1,9
7.2,3,31,1,1
6.2,2,13,0,3
8.1,2,44,1,6
6.5,2,35,1,5
7.8,3,2,1,1
7.6,0,37,1,1
7.2,0,34,1,5
6.3,2,24,2,7
9.4,2,12,0,3
6.2,0,21,0,2
6.1,0,42,1,8
8.2,1,29,1,1
5.5,0,36,0,6
4.1,1,37,0,4
6.6,0,26,1,1
5.7,2,16,1,2
7.9,1,42,2,1
9.0,0,32,0,4
5.8,2,20,1,3
4.2,2,28,0,3
9.1,2,37,2,2
8.0,0,23,1,4
5.2,0,39,0,4
5.8,1,25,1,3
7.3,0,49,1,8
8.0,0,41,0,3
4.0,2,11,1,4
8.0,0,35,1,1
6.3,1,5,0,5
7.0,0,28,1,5
8.1,2,37,0,3
8.1,0,38,1,5
10.0,1,32,2,3
8.7,1,18,0,8
7.6,2,32,2,2
6.5,2,18,0,5
8.7,0,0,1,3
6.5,0,21,1,4
7.8,2,41,1,1
8.4,2,30,0,7
9.8,0,23,1,1
5.1,0,15,1,5
6.5,3,28,0,3
4.0,0,33,0,3
7.9,0,22,1,4
6.1,2,50,0,6
7.7,1,11,0,3
6.9,2,33,0,2
7.4,1,4,1,7
5.9,2,17,1,2
5.8,0,14,0,7
7.9,2,39,0,4
6.1,1,31,0,8
4.2,0,35,1,5
7.6,2,38,1,1
7.4,0,16,0,8
5.9,1,40,0,5
10.0,1,49,1,1
10.0,2,19,1,6
5.9,0,70,1,2
6.8,2,28,0,1
6.1,2,41,1,7
7.8,0,10,1,2
5.6,2,20,1,7
5.4,0,43,1,5
6.2,2,8,1,5
8.2,2,31,1,2
7.0,0,29,2,8
7.1,0,25,1,1
7.5,1,32,1,6
5.7,2,2,1,3
6.2,2,41,0,6
8.4,2,63,0,5
9.1,2,48,1,4
5.9,1,33,0,4
6.2,2,39,1,6
7.5,2,14,2,4
8.4,2,31,2,6
8.7,1,23,1,3
6.6,2,3,1,1
8.0,2,34,0,4
6.0,3,12,1,5
6.2,0,34,1,5
6.6,0,23,1,9
7.4,2,20,1,4
6.7,0,36,0,3
8.4,2,7,1,5
6.8,3,38,0,3
5.3,2,25,0,8
8.0,0,38,1,8
6.9,0,28,0,4
4.8,0,17,0,3
6.2,2,11,0,2
5.3,0,0,2,6
6.2,0,43,1,5
5.6,0,29,1,3
6.4,3,49,0,6
5.6,1,16,1,10
8.1,0,36,0,2
8.4,1,15,1,5
6.8,1,28,1,4
7.5,0,34,1,1
7.2,2,56,1,1
6.3,0,48,1,4
7.4,2,38,1,3
6.8,1,17,1,5
6.7,3,8,1,3
6.5,2,25,1,4
6.4,1,17,1,7
7.6,0,3,1,5
7.1,2,44,1,1
6.5,0,14,1,7
7.0,0,32,1,5
9.4,3,7,1,2
4.9,0,14,2,7
5.0,3,29,1,7
10.0,2,36,1,5
5.0,1,21,1,4
4.5,2,0,1,5
7.1,0,40,0,7
7.1,1,34,0,5
7.3,0,30,1,2
7.5,0,10,1,8
6.3,3,29,1,4
7.0,0,14,1,2
7.9,1,40,1,6
5.4,2,43,1,4
8.5,2,25,1,1
5.3,2,29,1,6
9.5,0,33,0,5
7.5,2,22,2,5
5.7,2,12,1,6
7.7,1,23,2,2
5.5,2,31,0,5
7.2,0,0,1,6
9.5,2,40,1,1
7.7,2,17,1,6
8.7,2,40,0,4
5.5,0,48,1,5
6.6,2,33,1,2
7.0,1,24,1,7
7.3,1,27,1,3
5.6,2,62,2,6
4.2,0,45,1,8
6.8,0,36,1,4
3.2,2,10,1,6
6.8,1,19,0,4
5.6,1,34,1,6
4.2,3,29,1,7
7.2,1,32,0,3
6.6,0,31,1,1
4.5,2,11,1,8
5.9,1,36,1,5
5.7,1,15,1,7
7.1,0,18,1,1
5.4,3,37,1,5
6.7,3,3,1,3
7.6,2,0,1,6
6.8,0,15,0,1
7.2,1,49,1,4
6.7,1,14,1,4
5.4,0,48,1,9
5.7,0,20,1,5
8.2,2,26,2,3
5.9,0,39,0,4
8.6,1,12,1,1
4.2,0,28,1,4
8.6,2,10,1,5
5.5,2,21,0,3
7.1,1,34,1,4
6.2,0,19,0,5
8.7,3,29,1,3
5.6,2,41,0,4
5.4,0,11,1,7
7.1,1,17,1,6
7.0,2,44,1,3
5.5,0,36,1,9
5.9,2,36,1,5
7.5,0,16,1,7
6.8,1,28,0,2
9.5,2,23,1,5
7.4,1,14,1,4
7.5,1,36,1,1
4.3,2,41,0,8
3.8,2,25,1,5
6.9,3,0,1,4
8.5,2,22,1,2
9.0,3,35,0,4
5.4,0,26,0,3
7.3,1,15,0,1
6.0,2,39,1,4
8.5,0,24,1,4
6.0,2,2,1,6
7.3,1,24,1,3
7.1,3,20,1,9
7.6,0,39,1,2
3.9,3,28,0,1
4.3,2,26,1,5
7.8,2,20,1,1
5.5,1,23,0,5
3.9,2,35,1,3
6.8,2,33,1,7
7.0,3,6,0,5
7.8,2,7,1,5
6.9,1,44,0,1
7.0,0,50,1,3
8.0,1,44,1,7
5.5,2,45,1,1
6.3,0,37,0,6
8.4,2,39,0,8
8.3,2,26,0,2
9.5,2,14,1,1
5.2,2,15,0,2
7.4,0,22,0,2
5.7,0,65,1,6
5.3,2,0,0,9
5.9,2,12,2,7
6.3,0,45,0,5
6.4,2,3,1,3
8.7,0,28,1,1
5.9,0,27,1,7
8.1,0,35,1,1
7.2,0,29,1,5
5.4,2,43,1,5
6.4,2,26,1,3
6.1,2,68,1,3
6.2,3,11,1,5
10.0,2,50,0,1
8.9,1,9,1,1
7.0,2,21,0,3
8.1,1,25,1,5
8.1,2,23,0,1
6.6,0,23,2,2
7.3,2,28,1,5
8.6,0,46,0,4
6.5,1,50,1,7
10.0,1,37,1,3
7.6,0,30,1,1
7.7,0,43,1,2
7.7,1,59,1,4
7.7,0,14,1,7
6.5,3,33,1,1
7.7,0,41,1,1
5.8,1,51,0,1
6.0,0,26,1,1
5.3,2,31,0,7
7.6,2,16,0,4
7.1,0,54,1,6
6.9,2,18,0,1
9.0,2,26,2,1
5.6,0,14,1,4
9.6,1,43,1,7
5.2,1,14,1,6
7.4,0,53,0,6
4.8,0,32,1,8
8.5,2,23,1,5
7.1,2,54,0,5
6.7,1,27,1,1
10.0,1,12,1,1
7.3,2,50,0,1
7.7,2,45,1,6
4.9,2,56,0,3
6.5,0,15,1,4
6.4,0,41,1,3
9.2,2,23,1,7
8.4,2,41,1,5
6.5,1,22,0,4
8.8,1,6,1,4
6.5,2,29,0,4
5.0,2,23,1,6
6.6,2,58,1,4
6.5,0,19,1,1
7.9,0,36,1,5
5.2,1,6,1,10
5.0,0,37,1,4
5.0,0,46,0,6
7.1,3,28,0,7
5.1,0,19,1,4
8.6,2,44,1,1
4.7,3,20,1,6
8.0,0,39,0,5
6.2,0,24,1,7
8.0,0,40,1,7
6.7,1,0,1,1
7.1,1,26,0,3
4.5,0,38,1,10
10.0,2,42,2,2
7.7,2,24,0,4
8.0,0,28,1,3
8.6,2,21,0,2
4.8,1,9,1,2
8.6,2,10,1,6
5.7,1,25,1,6
8.4,0,52,1,2
8.8,0,0,0,2
8.7,1,40,1,1
6.5,1,33,1,6
4.2,1,9,1,6
8.9,2,33,1,1
6.1,2,37,0,3
6.0,1,35,1,1
5.6,2,19,1,2
7.2,3,12,1,5
4.8,2,46,1,4
6.3,2,36,0,1
7.3,0,51,0,4
4.4,0,23,1,3
7.8,0,62,0,3
5.4,0,38,1,4
8.8,2,41,1,2
7.2,0,14,0,4
8.8,0,18,1,3
8.3,1,19,1,4
8.4,2,23,0,1
5.5,1,21,1,4
9.6,3,59,2,1
6.3,3,41,1,8
9.4,2,39,1,3
3.7,2,50,1,9
8.2,3,35,1,1
7.9,0,42,0,6
8.2,0,12,1,5
7.4,2,10,0,7
7.1,0,60,0,5
7.3,2,15,1,1
3.2,0,38,1,4
6.4,0,62,0,3
6.5,0,18,1,4
6.6,1,28,1,4
8.2,0,64,0,7
8.0,2,38,1,1
7.3,3,58,1,4
8.7,1,19,1,6
4.4,3,36,0,7
8.7,0,23,1,7
6.0,1,16,0,4
4.4,2,25,1,8
6.4,3,38,1,3
10.0,2,16,1,1
5.2,3,16,2,1
6.6,1,17,0,4
8.5,2,25,1,6
5.4,0,41,1,6
