,Internships,Projects,Leadership_Positions,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills
0,0,2,0,4,2,2,1,0,1
1,2,0,0,4,0,3,0,3,0
2,0,0,0,1,1,2,2,3,4
3,1,3,0,1,3,1,2,1,2
4,2,4,0,4,3,4,4,3,2
5,0,0,1,2,4,3,1,2,4
6,0,1,1,2,4,2,2,3,0
7,1,0,0,3,3,4,4,2,4
8,2,0,1,0,1,0,2,3,3
9,2,2,1,4,4,4,0,3,2
10,2,1,1,4,1,3,0,0,4
11,1,1,1,1,4,2,4,0,2
12,2,3,1,3,2,3,4,1,2
13,2,4,0,1,2,1,4,2,2
14,0,0,1,0,1,0,3,0,3
15,2,1,1,2,1,0,1,3,2
16,2,3,1,3,2,3,4,2,3
17,2,3,0,0,4,3,1,3,0
18,1,1,1,2,1,3,4,3,1
19,2,2,0,2,3,3,3,3,1
20,0,4,0,0,3,1,0,1,2
21,0,2,1,0,0,3,0,0,4
22,0,0,1,3,0,2,1,1,3
23,1,2,0,0,3,1,1,4,2
24,0,4,0,0,0,1,0,1,4
25,2,3,0,0,4,1,0,3,0
26,1,4,1,0,2,3,4,3,2
27,2,1,0,4,1,0,1,0,3
28,2,0,0,4,2,0,1,2,1
29,0,0,1,1,2,3,0,3,1
30,2,4,1,2,1,0,2,2,4
31,1,1,1,0,1,2,0,2,2
32,0,4,0,0,2,3,1,4,0
33,1,4,1,2,0,1,1,4,2
34,1,1,1,2,2,3,1,2,0
35,0,4,0,0,4,1,4,0,2
36,0,2,0,3,4,0,2,3,3
37,2,4,0,3,4,1,2,3,0
38,1,3,0,1,2,4,4,1,2
39,0,0,0,1,2,4,3,3,0
40,2,3,0,2,0,3,0,1,0
41,1,3,0,3,4,1,0,4,4
42,0,2,0,3,2,0,2,4,1
43,0,4,1,2,1,2,3,3,3
44,0,3,1,2,3,2,2,2,2
45,2,1,0,4,0,4,2,0,3
46,2,1,0,2,1,4,2,0,0
47,2,3,0,1,3,3,0,3,4
48,1,3,1,3,2,2,4,3,1
49,1,4,1,1,3,3,0,0,3
50,0,0,1,1,4,3,0,2,4
51,1,2,0,0,0,3,2,4,4
52,2,2,1,1,1,1,3,1,4
53,2,4,1,0,1,4,2,0,2
54,0,2,1,1,4,1,0,3,1
55,2,2,1,4,2,1,4,2,3
56,0,3,1,3,1,1,2,0,4
57,1,4,1,4,4,2,3,1,3
58,2,1,1,0,3,0,4,2,0
59,1,2,1,1,3,0,1,4,4
60,0,0,1,0,0,2,0,2,1
61,0,0,1,0,0,3,2,1,1
62,2,4,1,3,2,1,4,2,0
63,1,1,1,0,2,3,1,0,3
64,1,4,1,0,2,1,2,4,3
65,0,3,0,2,0,0,1,1,3
66,0,3,1,4,2,1,2,4,3
67,0,4,1,3,0,0,2,0,0
68,0,3,0,3,4,1,3,1,2
69,2,1,1,3,4,3,0,0,1
70,0,1,0,4,4,0,0,4,0
71,1,3,1,0,3,3,2,1,1
72,2,3,0,2,3,4,1,4,0
73,1,0,0,1,1,1,3,4,4
74,2,4,1,0,0,3,1,4,0
75,0,0,1,4,1,2,3,0,0
76,0,2,0,3,4,3,4,2,3
77,2,0,0,0,0,2,0,4,4
78,0,0,0,0,2,2,4,0,1
79,1,0,0,4,0,4,2,0,3
80,0,2,0,2,3,4,1,0,1
81,0,3,1,0,3,2,0,1,3
82,0,2,1,0,1,1,0,4,3
83,1,1,0,1,2,2,0,0,3
84,1,1,0,3,2,1,3,1,2
85,1,4,0,3,2,4,3,3,0
86,0,1,1,1,1,0,2,2,1
87,1,4,0,0,2,3,1,3,4
88,0,0,0,2,2,4,4,3,3
89,1,2,1,3,3,4,2,2,0
90,1,0,0,2,0,1,4,1,3
91,0,4,0,2,1,1,2,3,3
92,2,2,0,0,2,0,0,0,3
93,0,3,0,3,4,3,0,3,3
94,0,1,0,3,4,0,3,2,1
95,1,3,1,4,2,2,0,2,1
96,2,0,1,0,3,0,1,0,1
97,0,3,1,1,1,3,1,1,3
98,2,1,0,0,0,2,0,3,4
99,1,2,0,1,2,0,0,2,3
100,2,1,1,3,1,2,1,0,1
101,2,4,1,1,3,4,4,3,4
102,0,0,0,2,1,3,0,2,2
103,0,3,1,0,0,3,3,2,0
104,1,3,1,3,4,1,4,1,1
105,2,2,1,1,3,4,3,1,4
106,0,1,0,2,4,2,3,1,3
107,0,1,1,1,3,4,1,4,0
108,2,1,0,1,0,0,4,0,4
109,1,3,0,2,3,0,3,1,1
110,2,3,0,2,2,2,0,0,1
111,1,3,0,0,0,0,4,0,2
112,0,1,1,4,3,1,3,2,4
113,1,3,0,0,4,4,4,4,3
114,1,2,0,1,2,0,1,2,3
115,1,3,1,1,0,0,0,1,1
116,0,2,1,2,1,2,3,0,0
117,2,4,0,1,2,2,3,2,0
118,2,1,0,4,4,0,2,3,2
119,1,1,1,2,0,1,0,3,4
120,0,2,0,4,1,3,3,0,0
121,1,2,1,1,0,1,0,4,3
