Actvitiy,Description
Bicycling,"Bicycling, mountain, competitive racing"
Bicycling,"Bicycling, BMX"
Bicycling,"Bicycling, mountain, general"
Bicycling,"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)"
Bicycling,"Bicycling, to/from work, self selected pace"
Bicycling,"Bicycling, on dirt or farm road, moderate pace"
Bicycling,"Bicycling, general"
Bicycling,"Bicycling, self-selected easy pace"
Bicycling,"Bicycling, self-selected moderate pace"
Bicycling,"Bicycling, self-selected vigorous pace"
Bicycling,"Bicycling, leisure 5.5 mph"
Bicycling,"Bicycling, leisure, 9.4 mph"
Bicycling,"Bicycling, 10-11.9 mph, leisure, slow, light effort"
Bicycling,"Bicycling, 12-13.9 mph, leisure, moderate effort"
Bicycling,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"
Bicycling,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general"
Bicycling,"Bicycling, >20 mph, racing, not drafting"
Bicycling,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm"
Bicycling,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm"
Bicycling,Unicycling
Bicycling,E-bike (electrically assisted) without electronic support
Bicycling,E-bike (electrically assisted) with light electronic support
Bicycling,E-bike (electrically assisted) with high electronic support
Bicycling,"Bicycling, stationary, general"
Bicycling,"Bicycling, stationary, 25-30 watts, very light to light effort"
Bicycling,"Bicycling, stationary, 50 watts, light effort"
Bicycling,"Bicycling, stationary, 60 watts, light to moderate effort"
Bicycling,"Bicycling, stationary, 70-80 watts"
Bicycling,"Bicycling, stationary, 90-100 watts,  moderate to vigorous"
Bicycling,"Bicycling, stationary, 101-125 watts"
Bicycling,"Bicycling, stationary, 126-150 watts"
Bicycling,"Bicycling, stationary, 151-199 watts"
Bicycling,"Bicycling, stationary, 200-229 watts, vigorous"
Bicycling,"Bicycling, stationary, 230-250 watts, very vigorous"
Bicycling,"Bicycling, stationary, 270-305 watts, very vigorous"
Bicycling,"Bicycling, stationary, >325 watts, very vigorous"
Bicycling,"Bicycling, concentric only, 100 W"
Bicycling,"Bicycling, concentric only, 200 W"
Bicycling,"Bicycling, eccentric only, 100 to 149 W"
Bicycling,"Bicycling, eccentric only, 200 W2024 Adult Compendium of Physical Activities"
Bicycling,"Bicycling, stationary, RPM/Spin bike class"
Bicycling,"Bicycling, interactive virtual cycling, indoor cycle ergometer"
Bicycling,"Bicycling, high intensity interval training"
Conditioning Exercise,"Aerobic, general"
Conditioning Exercise,"Aerobic, step, with 4-inch step"
Conditioning Exercise,"Aerobic, step, with 6 – 8 inch step"
Conditioning Exercise,"Aerobic, step, with 10 – 12 inch step"
Conditioning Exercise,"Bench step class, general"
Conditioning Exercise,"Aerobic dance, low impact, moderate effort"
Conditioning Exercise,"Aerobic dance, high impact, vigorous effort"
Conditioning Exercise,Aerobic dance wearing 10-15 lb weights
Conditioning Exercise,"Army type obstacle course exercise, boot camp training program"
Conditioning Exercise,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort"
Conditioning Exercise,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort"
Conditioning Exercise,"Calisthenics (e.g., curl ups, abdominal crunches, plank),  light effort"
Conditioning Exercise,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)"
Conditioning Exercise,"Circuit training, body weight exercises"
Conditioning Exercise,"Circuit training, light effort"
Conditioning Exercise,"Circuit training, moderate effort"
Conditioning Exercise,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity"
Conditioning Exercise,Curves™ exercise routines in women
Conditioning Exercise,"Elliptical trainer, moderate effort"
Conditioning Exercise,"Elliptical trainer, vigorous effort"
Conditioning Exercise,"Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code"
Conditioning Exercise,"Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code  210)"
Conditioning Exercise,"Resistance (weight) training, squats, deadlift, slow or explosive effort"
Conditioning Exercise,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance"
Conditioning Exercise,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training"
Conditioning Exercise,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general"
Conditioning Exercise,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity"
Conditioning Exercise,Kettle bell swings
Conditioning Exercise,"Health club exercise, general (Taylor Code 160)"
Conditioning Exercise,"Health club exercise classes general, gym/weight training combined in one visit"
Conditioning Exercise,"Health club exercise, conditioning classes"
Conditioning Exercise,"Home exercise, general"
Conditioning Exercise,"Stair treadmill ergometer, general"
Conditioning Exercise,"Rope skipping exercise, general"
Conditioning Exercise,"Jumping rope, Digi-Jump Maching, 120 jumps/minute"
Conditioning Exercise,"Rowing, stationary ergometer, general, vigorous effort"
Conditioning Exercise,"Rowing, stationary ergometer, general, <100 watts,  moderate effort"
Conditioning Exercise,"Rowing, stationary, 100 to 149 watts, vigorous effort"
Conditioning Exercise,"Rowing, stationary, 150 to 199 watts, vigorous effort"
Conditioning Exercise,"Rowing, stationary, ≥ 200 watts, very vigorous effort"
Conditioning Exercise,"Shuttle running, forward/backward/lateral"
Conditioning Exercise,"Ski machine, general"
Conditioning Exercise,"Ski ergometer, cross country, double poling, slow to moderate speed"
Conditioning Exercise,"Ski ergometer, cross country, double poling, fast to maximum speed"
Conditioning Exercise,"Slide board exercise, general"
Conditioning Exercise,"Slimnastics, jazzercise"
Conditioning Exercise,"Stretching, mild"
Conditioning Exercise,"Pilates, traditional, mat"
Conditioning Exercise,"Pilates, general"
Conditioning Exercise,"Pound, combination of Pilates and body movements with drumming"
Conditioning Exercise,"Pole dancing, exercise class"
Conditioning Exercise,"Teaching exercise classes (e.g., aerobic, water)"
Conditioning Exercise,"Therapeutic exercise ball, Fitball exercise"
Conditioning Exercise,"Therapeutic exercise ball, Fitball exercise, high intensity"
Conditioning Exercise,"Upper body exercise, arm ergometer, general, light"
Conditioning Exercise,"Arm Ergometer, hand bike, 15W"
Conditioning Exercise,"Arm Ergometer, hand bike, 25-30W"
Conditioning Exercise,"Arm Ergometer, hand bike, 45W"
