Internships,Projects,Leadership_Positions,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Cluster,Cluster_Name,PC1,PC2,PC3
0,2,0,4,2,2,1,0,1,2,Communicators,-0.6000561407443171,-0.8349715015960986,-0.1472391500735757
2,0,0,4,0,3,0,3,0,0,Presenters,-1.7854229318165566,-0.218337519786191,2.3405092326103714
0,0,0,1,1,2,2,3,4,0,Presenters,-0.4589098121743309,0.6216935943818623,0.7052174307497397
1,3,0,1,3,1,2,1,2,2,Communicators,0.1725779611736465,-0.3036504259337585,-0.09240780882077895
2,4,0,4,3,4,4,3,2,0,Presenters,1.0432218541059275,-1.3266096744627758,0.4701565613522693
0,0,1,2,4,3,1,2,4,1,Leaders & Team Players,0.7434676061930048,2.1101541494484293,-0.24679172818496675
0,1,1,2,4,2,2,3,0,1,Leaders & Team Players,1.0703377589310772,-0.2440243729312043,0.30962573957718076
1,0,0,3,3,4,4,2,4,2,Communicators,0.05969761430938243,0.45752544656179905,0.047552450453391584
2,0,1,0,1,0,2,3,3,1,Leaders & Team Players,-1.398283885535125,1.350526405765568,0.129259461390823
2,2,1,4,4,4,0,3,2,1,Leaders & Team Players,0.7881537766270474,1.4125801311064587,1.0203963045509028
2,1,1,4,1,3,0,0,4,1,Leaders & Team Players,-1.4921585253985934,2.1046823170799978,-0.7423098170710105
1,1,1,1,4,2,4,0,2,1,Leaders & Team Players,0.43587992292986233,0.5223269593906401,-1.7993786108871057
2,3,1,3,2,3,4,1,2,3,Project-Driven Builders,0.1800028042508368,-0.3384030380100938,-1.4397214285891762
2,4,0,1,2,1,4,2,2,0,Presenters,0.08629986696397855,-1.23444135451667,-0.22946662508069188
0,0,1,0,1,0,3,0,3,1,Leaders & Team Players,-1.122188852183059,0.712157796623512,-1.9753354982350821
2,1,1,2,1,0,1,3,2,1,Leaders & Team Players,-1.5280154331968188,0.6909891377036439,0.4553574204189409
2,3,1,3,2,3,4,2,3,3,Project-Driven Builders,0.3176107702688246,-0.0462703859031448,-1.1249461186750815
2,3,0,0,4,3,1,3,0,0,Presenters,1.4666674906975143,0.012100833278792288,1.8127193761436584
1,1,1,2,1,3,4,3,1,1,Leaders & Team Players,0.1634673326149058,-0.6070543057947709,-0.34301033267002545
2,2,0,2,3,3,3,3,1,0,Presenters,0.43019599708865636,-0.5969980352420842,1.136234891998881
0,4,0,0,3,1,0,1,2,2,Communicators,0.9951860625632342,0.07550849074371,0.1858208279612313
0,2,1,0,0,3,0,0,4,1,Leaders & Team Players,0.14989304577105614,1.9268530072718817,-1.33841167607791
